Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,9727541,9793166,10438055,11247647,11690825,12109086,12614497,12835340,13088192,13557331,13949295,14468875,15067373,15594637,16172321,16682054,17115346,17614722,18136922,18679089
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,9815442,9895467,10562202,11397483,11862726,12302104,12828447,13067961,13339006,13827977,14240377,14780282,15399105,15946572,16543889,17071446,17520861,18028696,18549862,19090409
Afghanistan,AFG,"Population, total",SP.POP.TOTL,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1557540,1543533,1538490,1531532,1523393,1513578,1501918,1488396,1474838,1462978,1454108,1449024,1445914,1442931,1439863,1435812,1433925,1433238,1430495,1425364
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1531486,1516640,1512520,1508084,1503547,1497909,1490629,1481621,1472476,1464541,1458913,1456171,1454486,1452162,1449241,1444890,1442176,1440219,1435881,1428828
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,15076418,15288132,15497822,15709725,15932047,16150274,16384158,16653361,16941031,17249096,17573708,17911362,18264572,18629532,19004433,19390923,19783015,20175233,20564404,20948465
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,15698203,15912853,16126874,16346159,16578139,16806416,17050923,17330466,17628560,17946941,18282636,18632179,18995990,19371095,19755734,20152232,20556314,20961313,21362603,21756903
Algeria,DZA,"Population, total",SP.POP.TOTL,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,28572,28649,28608,28521,28392,28230,28044,27842,27626,27406,27189,26951,26678,26369,26017,25629,25208,24762,24290,23786
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,29657,29674,29570,29419,29233,29024,28793,28541,28265,27960,27660,27358,27014,26627,26199,25739,25240,24701,24134,23535
American Samoa,ASM,"Population, total",SP.POP.TOTL,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,31812,32669,34076,35478,36852,38147,38392,37633,36864,36065,35212,34895,35127,35324,35473,35557,35913,36456,36943,37502
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,34285,35151,36773,38429,40082,41679,41829,40535,39191,37787,36307,35672,35885,36043,36148,36188,36628,37380,38071,38842
Andorra,AND,"Population, total",SP.POP.TOTL,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,8339311,8619083,8912191,9219638,9545020,9886765,10244381,10620174,11013001,11422969,11853530,12303450,12770743,13252938,13746371,14248799,14764575,15293335,15828040,16370553
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,8054751,8322504,8603948,8904704,9226105,9564193,9917959,10289510,10678522,11084704,11510656,11955662,12417550,12894065,13381965,13878923,14390171,14915293,15445494,15983035
Angola,AGO,"Population, total",SP.POP.TOTL,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,39748,40383,40894,41329,41753,42209,42715,43270,43883,44522,45097,45588,46022,46401,46748,47087,47388,47658,47910,48156
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,35307,35831,36301,36745,37188,37660,38181,38745,39367,40012,40597,41141,41653,42096,42488,42853,43176,43461,43715,43961
